Index,Variant,Region,Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0-4(F),5-9(F),10-14(F),15-19(F),20-24(F),25-29(F),30-34(F),35-39(F),40-44(F),45-49(F),50-54(F),55-59(F),60-64(F),65-69(F),70-74(F),75-79(F),80-84(F),85-89(F),90-94(F),95-99(F),100+(F)
7133,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1950,  5 580,  4 784,  4 379,  4 348,  3 984,  3 432,  2 846,  2 694,  2 298,  1 988,  1 684,  1 389,  1 207,   977,   696,   428,   212,   75,   17,   2,   0
7134,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1951,  5 724,  4 647,  4 433,  4 394,  4 043,  3 536,  2 921,  2 727,  2 397,  1 996,  1 740,  1 430,  1 229,   982,   720,   443,   218,   78,   18,   2,   0
7135,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1952,  5 610,  4 675,  4 523,  4 419,  4 112,  3 646,  3 007,  2 746,  2 485,  2 018,  1 802,  1 475,  1 247,   991,   747,   459,   226,   81,   19,   2,   0
7136,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1953,  5 257,  4 906,  4 634,  4 405,  4 182,  3 738,  3 127,  2 750,  2 545,  2 074,  1 856,  1 523,  1 258,  1 010,   772,   476,   233,   84,   20,   3,   0
7137,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1954,  4 845,  5 174,  4 752,  4 359,  4 241,  3 822,  3 263,  2 753,  2 596,  2 155,  1 896,  1 571,  1 268,  1 038,   792,   494,   241,   87,   21,   3,   0
7138,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1955,  4 511,  5 427,  4 742,  4 346,  4 294,  3 893,  3 377,  2 799,  2 639,  2 246,  1 922,  1 616,  1 292,  1 068,   808,   516,   253,   92,   22,   3,   0
7139,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1956,  4 289,  5 590,  4 609,  4 402,  4 343,  3 956,  3 483,  2 878,  2 674,  2 344,  1 931,  1 672,  1 334,  1 092,   815,   536,   263,   95,   23,   3,   0
7140,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1957,  4 100,  5 493,  4 638,  4 492,  4 368,  4 024,  3 590,  2 966,  2 694,  2 431,  1 953,  1 733,  1 378,  1 110,   823,   554,   272,   98,   24,   3,   0
7141,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1958,  3 969,  5 159,  4 868,  4 601,  4 355,  4 094,  3 679,  3 085,  2 699,  2 489,  2 008,  1 785,  1 425,  1 123,   841,   572,   283,   101,   25,   4,   0
7142,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1959,  3 904,  4 766,  5 139,  4 720,  4 312,  4 154,  3 758,  3 220,  2 703,  2 537,  2 088,  1 823,  1 472,  1 136,   869,   589,   297,   106,   26,   4,   0
7143,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1960,  3 860,  4 447,  5 397,  4 713,  4 303,  4 210,  3 826,  3 334,  2 750,  2 579,  2 178,  1 849,  1 516,  1 161,   897,   599,   309,   111,   27,   4,   0
7144,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1961,  3 835,  4 235,  5 567,  4 587,  4 364,  4 264,  3 889,  3 440,  2 828,  2 615,  2 274,  1 857,  1 569,  1 201,   920,   603,   321,   115,   28,   4,   0
7145,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1962,  3 851,  4 056,  5 475,  4 626,  4 460,  4 299,  3 962,  3 547,  2 916,  2 638,  2 359,  1 880,  1 627,  1 244,   938,   610,   332,   119,   29,   4,   0
7146,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1963,  3 886,  3 933,  5 147,  4 864,  4 578,  4 296,  4 038,  3 637,  3 036,  2 647,  2 418,  1 934,  1 678,  1 290,   953,   627,   343,   124,   30,   4,   0
7147,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1964,  3 932,  3 874,  4 761,  5 139,  4 708,  4 265,  4 103,  3 718,  3 171,  2 655,  2 468,  2 011,  1 716,  1 336,   968,   652,   355,   131,   32,   5,   0
7148,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1965,  4 019,  3 834,  4 450,  5 400,  4 717,  4 268,  4 165,  3 789,  3 286,  2 705,  2 513,  2 100,  1 744,  1 380,   993,   677,   361,   137,   34,   5,   0
7149,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1966,  4 025,  3 813,  4 246,  5 572,  4 605,  4 337,  4 225,  3 855,  3 394,  2 788,  2 552,  2 194,  1 758,  1 434,  1 031,   698,   366,   143,   35,   5,   0
7150,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1967,  4 044,  3 834,  4 073,  5 487,  4 652,  4 440,  4 266,  3 930,  3 502,  2 878,  2 579,  2 280,  1 787,  1 494,  1 074,   718,   376,   150,   37,   6,   0
7151,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1968,  4 152,  3 872,  3 954,  5 166,  4 889,  4 570,  4 268,  4 008,  3 593,  2 999,  2 595,  2 341,  1 845,  1 547,  1 120,   735,   392,   157,   40,   6,   0
7152,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1969,  4 221,  3 920,  3 897,  4 790,  5 152,  4 724,  4 236,  4 074,  3 679,  3 135,  2 609,  2 393,  1 923,  1 590,  1 164,   751,   413,   164,   42,   6,   1
7153,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1970,  4 271,  4 007,  3 858,  4 488,  5 397,  4 764,  4 234,  4 136,  3 754,  3 250,  2 663,  2 440,  2 011,  1 624,  1 208,   776,   434,   169,   45,   7,   1
7154,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1971,  4 431,  4 013,  3 837,  4 287,  5 556,  4 679,  4 302,  4 195,  3 823,  3 359,  2 748,  2 483,  2 104,  1 644,  1 262,   811,   451,   174,   47,   8,   1
7155,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1972,  4 601,  4 031,  3 858,  4 114,  5 465,  4 733,  4 410,  4 235,  3 901,  3 470,  2 838,  2 515,  2 191,  1 679,  1 321,   850,   470,   182,   51,   8,   1
7156,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1973,  4 694,  4 137,  3 896,  3 993,  5 148,  4 952,  4 547,  4 236,  3 980,  3 564,  2 957,  2 534,  2 255,  1 739,  1 376,   893,   485,   193,   54,   9,   1
7157,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1974,  4 797,  4 205,  3 944,  3 934,  4 781,  5 177,  4 709,  4 202,  4 048,  3 652,  3 090,  2 552,  2 310,  1 816,  1 422,   934,   500,   205,   56,   9,   1
7158,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1975,  4 842,  4 254,  4 030,  3 892,  4 487,  5 387,  4 751,  4 194,  4 110,  3 728,  3 205,  2 608,  2 360,  1 902,  1 458,   978,   521,   217,   59,   10,   1
7159,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1976,  4 808,  4 412,  4 034,  3 867,  4 292,  5 541,  4 655,  4 255,  4 170,  3 797,  3 313,  2 693,  2 403,  1 994,  1 484,  1 029,   550,   228,   61,   10,   1
7160,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1977,  4 706,  4 581,  4 051,  3 883,  4 123,  5 455,  4 704,  4 354,  4 210,  3 871,  3 424,  2 782,  2 433,  2 080,  1 523,  1 085,   584,   238,   65,   11,   1
7161,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1978,  4 541,  4 673,  4 155,  3 918,  4 005,  5 134,  4 931,  4 481,  4 213,  3 947,  3 520,  2 898,  2 452,  2 147,  1 585,  1 138,   621,   250,   71,   12,   1
7162,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1979,  4 346,  4 774,  4 223,  3 964,  3 948,  4 760,  5 172,  4 623,  4 181,  4 012,  3 608,  3 030,  2 471,  2 204,  1 663,  1 184,   660,   265,   78,   13,   1
7163,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1980,  4 162,  4 817,  4 275,  4 046,  3 906,  4 460,  5 398,  4 640,  4 178,  4 075,  3 682,  3 144,  2 528,  2 255,  1 748,  1 222,   701,   282,   85,   15,   1
7164,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1981,  3 995,  4 784,  4 435,  4 050,  3 880,  4 259,  5 545,  4 529,  4 245,  4 136,  3 748,  3 251,  2 613,  2 299,  1 838,  1 251,   747,   302,   90,   16,   1
7165,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1982,  3 844,  4 681,  4 600,  4 072,  3 896,  4 087,  5 444,  4 569,  4 349,  4 176,  3 820,  3 362,  2 702,  2 330,  1 923,  1 294,   797,   327,   97,   18,   2
7166,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1983,  3 717,  4 517,  4 686,  4 182,  3 930,  3 969,  5 115,  4 795,  4 474,  4 175,  3 894,  3 457,  2 818,  2 351,  1 990,  1 357,   843,   354,   105,   20,   2
7167,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1984,  3 615,  4 322,  4 784,  4 255,  3 976,  3 912,  4 735,  5 056,  4 607,  4 142,  3 959,  3 543,  2 949,  2 370,  2 048,  1 434,   884,   381,   113,   22,   2
7168,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1985,  3 531,  4 139,  4 824,  4 312,  4 058,  3 868,  4 430,  5 312,  4 607,  4 140,  4 024,  3 616,  3 062,  2 429,  2 099,  1 518,   920,   412,   124,   25,   2
7169,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1986,  3 456,  3 974,  4 788,  4 475,  4 061,  3 840,  4 227,  5 484,  4 484,  4 209,  4 088,  3 680,  3 169,  2 514,  2 145,  1 605,   953,   448,   135,   28,   3
7170,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1987,  3 389,  3 824,  4 683,  4 639,  4 085,  3 853,  4 056,  5 396,  4 522,  4 316,  4 129,  3 751,  3 280,  2 606,  2 178,  1 690,   997,   486,   150,   31,   3
7171,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1988,  3 322,  3 699,  4 517,  4 723,  4 198,  3 885,  3 942,  5 073,  4 754,  4 443,  4 129,  3 825,  3 375,  2 722,  2 201,  1 759,  1 057,   521,   165,   34,   3
7172,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1989,  3 239,  3 598,  4 321,  4 819,  4 273,  3 932,  3 888,  4 695,  5 025,  4 570,  4 096,  3 892,  3 461,  2 852,  2 223,  1 818,  1 127,   551,   181,   38,   4
7173,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1990,  3 145,  3 516,  4 138,  4 859,  4 334,  4 013,  3 845,  4 394,  5 294,  4 562,  4 095,  3 959,  3 533,  2 965,  2 283,  1 872,  1 203,   580,   198,   41,   5
7174,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1991,  3 069,  3 442,  3 972,  4 823,  4 498,  4 018,  3 818,  4 196,  5 475,  4 433,  4 167,  4 025,  3 598,  3 072,  2 369,  1 918,  1 282,   607,   218,   46,   5
7175,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1992,  3 008,  3 377,  3 823,  4 718,  4 660,  4 046,  3 834,  4 029,  5 390,  4 473,  4 276,  4 068,  3 668,  3 182,  2 459,  1 954,  1 358,   644,   238,   51,   6
7176,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1993,  2 949,  3 311,  3 699,  4 552,  4 742,  4 162,  3 869,  3 920,  5 066,  4 708,  4 403,  4 069,  3 741,  3 277,  2 573,  1 978,  1 422,   693,   258,   58,   6
7177,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1994,  2 918,  3 229,  3 599,  4 355,  4 837,  4 238,  3 917,  3 869,  4 688,  4 985,  4 529,  4 037,  3 808,  3 362,  2 700,  2 003,  1 479,   750,   276,   64,   7
7178,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1995,  2 911,  3 135,  3 517,  4 171,  4 874,  4 299,  4 000,  3 829,  4 389,  5 258,  4 516,  4 038,  3 878,  3 434,  2 812,  2 065,  1 531,   810,   295,   71,   8
7179,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1996,  2 904,  3 060,  3 444,  4 003,  4 836,  4 463,  4 004,  3 803,  4 191,  5 439,  4 386,  4 110,  3 947,  3 499,  2 918,  2 151,  1 580,   874,   315,   80,   10
7180,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1997,  2 900,  2 999,  3 379,  3 854,  4 729,  4 622,  4 034,  3 820,  4 025,  5 353,  4 426,  4 219,  3 992,  3 570,  3 029,  2 243,  1 622,   940,   344,   90,   11
7181,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1998,  2 898,  2 940,  3 313,  3 730,  4 560,  4 701,  4 152,  3 854,  3 919,  5 029,  4 662,  4 347,  3 996,  3 645,  3 125,  2 357,  1 654,   999,   381,   101,   13
7182,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,1999,  2 885,  2 910,  3 231,  3 630,  4 363,  4 793,  4 228,  3 902,  3 870,  4 653,  4 939,  4 471,  3 967,  3 716,  3 210,  2 481,  1 686,  1 053,   420,   111,   15
7183,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2000,  2 872,  2 904,  3 138,  3 549,  4 178,  4 831,  4 290,  3 984,  3 831,  4 357,  5 214,  4 457,  3 971,  3 790,  3 283,  2 593,  1 750,  1 104,   461,   123,   18
7184,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2001,  2 864,  2 898,  3 063,  3 477,  4 012,  4 795,  4 453,  3 989,  3 807,  4 163,  5 397,  4 329,  4 047,  3 863,  3 350,  2 703,  1 838,  1 154,   507,   135,   21
7185,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2002,  2 846,  2 895,  3 004,  3 412,  3 864,  4 691,  4 610,  4 020,  3 824,  4 001,  5 313,  4 370,  4 158,  3 914,  3 424,  2 815,  1 931,  1 199,   556,   151,   25
7186,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2003,  2 819,  2 893,  2 947,  3 346,  3 742,  4 526,  4 691,  4 136,  3 860,  3 898,  4 992,  4 608,  4 288,  3 923,  3 501,  2 912,  2 041,  1 236,   602,   171,   28
7187,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2004,  2 788,  2 880,  2 918,  3 266,  3 644,  4 333,  4 784,  4 212,  3 910,  3 852,  4 620,  4 886,  4 413,  3 900,  3 575,  2 999,  2 161,  1 273,   645,   193,   32
7188,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2005,  2 746,  2 868,  2 913,  3 175,  3 565,  4 155,  4 823,  4 273,  3 993,  3 815,  4 327,  5 163,  4 399,  3 908,  3 652,  3 073,  2 270,  1 335,   684,   215,   36
7189,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2006,  2 704,  2 861,  2 910,  3 101,  3 494,  3 994,  4 790,  4 436,  4 000,  3 792,  4 136,  5 346,  4 274,  3 987,  3 727,  3 139,  2 375,  1 412,   720,   238,   40
7190,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2007,  2 678,  2 842,  2 909,  3 044,  3 431,  3 851,  4 690,  4 593,  4 031,  3 811,  3 977,  5 264,  4 317,  4 102,  3 779,  3 212,  2 482,  1 491,   753,   262,   44
7191,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2008,  2 662,  2 815,  2 909,  2 989,  3 366,  3 732,  4 529,  4 674,  4 148,  3 848,  3 876,  4 946,  4 553,  4 233,  3 789,  3 289,  2 573,  1 583,   780,   283,   50
7192,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2009,  2 651,  2 783,  2 897,  2 962,  3 287,  3 636,  4 340,  4 767,  4 223,  3 898,  3 830,  4 577,  4 828,  4 358,  3 767,  3 362,  2 657,  1 682,   808,   304,   55
7193,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2010,  2 643,  2 740,  2 885,  2 959,  3 197,  3 556,  4 162,  4 807,  4 283,  3 979,  3 792,  4 287,  5 101,  4 344,  3 777,  3 438,  2 728,  1 775,   854,   322,   61
7194,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2011,  2 628,  2 697,  2 877,  2 956,  3 124,  3 484,  4 001,  4 773,  4 444,  3 983,  3 768,  4 096,  5 280,  4 218,  3 854,  3 511,  2 791,  1 864,   908,   337,   66
7195,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2012,  2 601,  2 669,  2 857,  2 954,  3 066,  3 419,  3 856,  4 670,  4 598,  4 011,  3 784,  3 937,  5 195,  4 259,  3 967,  3 560,  2 859,  1 950,   960,   350,   71
7196,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2013,  2 570,  2 651,  2 829,  2 955,  3 010,  3 354,  3 735,  4 508,  4 676,  4 126,  3 818,  3 835,  4 878,  4 493,  4 095,  3 571,  2 931,  2 025,  1 020,   363,   75
7197,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2014,  2 535,  2 639,  2 796,  2 942,  2 983,  3 276,  3 636,  4 317,  4 767,  4 199,  3 865,  3 788,  4 511,  4 766,  4 215,  3 553,  3 001,  2 096,  1 085,   378,   80
7198,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2015,  2 499,  2 630,  2 752,  2 929,  2 979,  3 188,  3 553,  4 139,  4 804,  4 258,  3 944,  3 750,  4 224,  5 034,  4 201,  3 567,  3 075,  2 160,  1 151,   403,   86
7199,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2016,  2 463,  2 614,  2 708,  2 920,  2 976,  3 116,  3 478,  3 978,  4 769,  4 419,  3 947,  3 726,  4 037,  5 211,  4 080,  3 648,  3 149,  2 221,  1 219,   432,   91
7200,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2017,  2 410,  2 587,  2 679,  2 898,  2 974,  3 059,  3 411,  3 835,  4 666,  4 573,  3 976,  3 743,  3 882,  5 128,  4 126,  3 763,  3 203,  2 288,  1 288,   462,   96
7201,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2018,  2 336,  2 556,  2 661,  2 868,  2 974,  3 003,  3 347,  3 714,  4 503,  4 650,  4 091,  3 778,  3 783,  4 816,  4 359,  3 891,  3 221,  2 357,  1 351,   494,   101
7202,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2019,  2 251,  2 521,  2 649,  2 832,  2 960,  2 976,  3 269,  3 615,  4 313,  4 740,  4 164,  3 825,  3 739,  4 458,  4 629,  4 010,  3 212,  2 424,  1 410,   529,   106
7203,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2020,  2 167,  2 487,  2 638,  2 785,  2 952,  2 972,  3 190,  3 534,  4 135,  4 780,  4 225,  3 903,  3 702,  4 172,  4 890,  3 995,  3 229,  2 492,  1 448,   556,   112
7204,Estimates,Japan,,392,JPN,JP,392,Country/Area,906,2021,  2 095,  2 454,  2 620,  2 736,  2 950,  2 972,  3 132,  3 465,  3 975,  4 749,  4 387,  3 906,  3 677,  3 980,  5 058,  3 875,  3 304,  2 554,  1 468,   574,   116
