Time,Total pay (real)
Nov to Jan 2007,2.6
Dec to Feb 2007,3.6
Jan to Mar 2007,3.1
Feb to Apr 2007,2.4
Mar to May 2007,1.6
Apr to Jun 2007,1.9
May to Jul 2007,2.2
Jun to Aug 2007,2.6
Jul to Sep 2007,3.1
Aug to Oct 2007,2.9
Sep to Nov 2007,2.6
Oct to Dec 2007,1.7
Nov to Jan 2008,1.5
Dec to Feb 2008,1.3
Jan to Mar 2008,1.8
Feb to Apr 2008,1.7
Mar to May 2008,1.5
Apr to Jun 2008,0.6
May to Jul 2008,-0.1
Jun to Aug 2008,-0.8
Jul to Sep 2008,-1.4
Aug to Oct 2008,-1.4
Sep to Nov 2008,-1.5
Oct to Dec 2008,-0.9
Nov to Jan 2009,-2
Dec to Feb 2009,-4.3
Jan to Mar 2009,-5.7
Feb to Apr 2009,-4.5
Mar to May 2009,-2
Apr to Jun 2009,-0.7
May to Jul 2009,-1
Jun to Aug 2009,-0.9
Jul to Sep 2009,-0.7
Aug to Oct 2009,-0.7
Sep to Nov 2009,-0.6
Oct to Dec 2009,-0.8
Nov to Jan 2010,-0.8
Dec to Feb 2010,0.7
Jan to Mar 2010,2.2
Feb to Apr 2010,1.7
Mar to May 2010,0
Apr to Jun 2010,-1.5
May to Jul 2010,-0.9
Jun to Aug 2010,-0.6
Jul to Sep 2010,-0.5
Aug to Oct 2010,-0.4
Sep to Nov 2010,-0.5
Oct to Dec 2010,-0.9
Nov to Jan 2011,-0.3
Dec to Feb 2011,-0.6
Jan to Mar 2011,-0.6
Feb to Apr 2011,-1.5
Mar to May 2011,-1.5
Apr to Jun 2011,-1.3
May to Jul 2011,-1.2
Jun to Aug 2011,-1.3
Jul to Sep 2011,-1.9
Aug to Oct 2011,-2.3
Sep to Nov 2011,-2.3
Oct to Dec 2011,-2
Nov to Jan 2012,-2.1
Dec to Feb 2012,-2
Jan to Mar 2012,-2.3
Feb to Apr 2012,-1.7
Mar to May 2012,-1.4
Apr to Jun 2012,-1
May to Jul 2012,-1
Jun to Aug 2012,-0.8
Jul to Sep 2012,-0.5
Aug to Oct 2012,-0.5
Sep to Nov 2012,-0.8
Oct to Dec 2012,-1
Nov to Jan 2013,-1
Dec to Feb 2013,-1.1
Jan to Mar 2013,-1.7
Feb to Apr 2013,-1
Mar to May 2013,-0.9
Apr to Jun 2013,-0.4
May to Jul 2013,-1.3
Jun to Aug 2013,-1.6
Jul to Sep 2013,-1.6
Aug to Oct 2013,-1.4
Sep to Nov 2013,-1.2
Oct to Dec 2013,-0.9
Nov to Jan 2014,-0.6
Dec to Feb 2014,-0.1
Jan to Mar 2014,0
Feb to Apr 2014,-1
Mar to May 2014,-1.6
Apr to Jun 2014,-1.7
May to Jul 2014,-1.2
Jun to Aug 2014,-1
Jul to Sep 2014,-0.6
Aug to Oct 2014,0
Sep to Nov 2014,0.5
Oct to Dec 2014,1
Nov to Jan 2015,1.1
Dec to Feb 2015,1.2
Jan to Mar 2015,1.9
Feb to Apr 2015,2.3
Mar to May 2015,2.7
Apr to Jun 2015,2.1
May to Jul 2015,2.4
Jun to Aug 2015,2.6
Jul to Sep 2015,2.6
Aug to Oct 2015,2.1
Sep to Nov 2015,1.7
Oct to Dec 2015,1.5
Nov to Jan 2016,1.6
Dec to Feb 2016,1.4
Jan to Mar 2016,1.5
Feb to Apr 2016,1.4
Mar to May 2016,1.7
Apr to Jun 2016,1.7
May to Jul 2016,1.7
Jun to Aug 2016,1.5
Jul to Sep 2016,1.4
Aug to Oct 2016,1.3
Sep to Nov 2016,1.3
Oct to Dec 2016,0.9
Nov to Jan 2017,0.4
Dec to Feb 2017,0.1
Jan to Mar 2017,0
Feb to Apr 2017,-0.2
Mar to May 2017,-0.5
Apr to Jun 2017,-0.3
May to Jul 2017,-0.4
Jun to Aug 2017,-0.3
Jul to Sep 2017,-0.4
Aug to Oct 2017,-0.2
Sep to Nov 2017,-0.3
Oct to Dec 2017,-0.2
Nov to Jan 2018,-0.1
Dec to Feb 2018,0.2
Jan to Mar 2018,0.3
Feb to Apr 2018,0.4
Mar to May 2018,0.4
Apr to Jun 2018,0
May to Jul 2018,0.3
Jun to Aug 2018,0.5
Jul to Sep 2018,0.8
Aug to Oct 2018,1.1
Sep to Nov 2018,1.2
Oct to Dec 2018,1.4
Nov to Jan 2019,1.4
Dec to Feb 2019,1.6
Jan to Mar 2019,1.4
Feb to Apr 2019,1.4
Mar to May 2019,1.5
Apr to Jun 2019,2
May to Jul 2019,2
Jun to Aug 2019,1.8
Jul to Sep 2019,2
Aug to Oct 2019,1.6
Sep to Nov 2019,1.6
Oct to Dec 2019,1.3
Nov to Jan 2020,1.4
Dec to Feb 2020,1.2
Jan to Mar 2020,0.7
Feb to Apr 2020,-0.4
Mar to May 2020,-1.4
Apr to Jun 2020,-2.1
May to Jul 2020,-1.8
Jun to Aug 2020,-0.7
Jul to Sep 2020,0.5
Aug to Oct 2020,2
Sep to Nov 2020,3
Oct to Dec 2020,3.9
Nov to Jan 2021,4.1
Dec to Feb 2021,3.7
Jan to Mar 2021,3.3
Feb to Apr 2021,4.6
Mar to May 2021,5.9
Apr to Jun 2021,7.1
May to Jul 2021,6.2
Jun to Aug 2021,4.7
Jul to Sept 2021,3.2
Aug to Oct 2021,1.7
Sept to Nov 2021,0.5
Oct to Dec 2021,0.2
Nov to Jan 2022,0.2
Dec to Feb 2022,0.6
Jan to Mar 2022,1.4
Feb to Apr 2022,0.4
Mar to May 2022,-0.8
Apr to Jun 2022,-2.5
May to July 2022,-2.5
Jun to Aug 2022,-2.4
