State,State Spending,,Local Spending,,State and Local Spending,,Gross State Product,,Real State Growth %,,Population (million), ,State and local Spending p/capita
Alabama,"3,409.00",a,258.9,a,"3,667.90",a,"231,172.00",a,1.3,a,4.9,e,748.5510204
Alaska,"1,347.10",a,32.4,a,"1,379.50",a,"54,547.10",a,0.2,a,0.7,e,1970.714286
Arizona,"4,397.20",a,472.9,a,"4,870.10",a,"369,988.00",a,3.3,a,7.3,e,667.1369863
Arkansas,"2,084.40",a,48.5,a,"2,132.90",a,"130,840.00",a,0.7,a,3,e,710.9666667
California,"44,899.40",a,"14,975.00",a,"59,874.40",a,"3,052,650.00",a,3.6,a,39.4,e,1519.654822
Colorado,"5,508.00",a,438.2,a,"5,946.20",a,"392,218.00",a,4.2,a,5.8,e,1025.206897
Connecticut,"4,376.60",a,950.4,a,"5,327.00",a,"288,109.00",a,0.6,a,3.6,e,1479.722222
Delaware,703.2,a,91.6,a,794.8,a,"77,042.20",a,4.1,a,1,e,794.8
District of Columbia,0,a,479,a,479,a,"144,406.00",a,0.9,a,0.7,e,684.2857143
Florida,"10,430.10",a,"2,803.60",a,"13,233.80",a,"1,116,440.00",a,3,a,21.5,e,615.5255814
Georgia,"6,911.10",a,"1,224.30",a,"8,135.40",a,"637,799.00",a,3.5,a,10.6,e,767.490566
Hawaii,"1,486.10",a,0,a,"1,486.10",a,"91,781.10",a,-0.9,a,1.4,e,1061.5
Idaho,"1,192.90",a,1.9,a,"1,194.80",a,"82,420.10",a,4,a,1.8,e,663.7777778
Illinois,"14,426.30",a,"6,313.30",a,"20,739.50",a,"890,486.00",a,0.5,a,12.7,e,1633.031496
Indiana,"2,458.80",a,121.6,a,"2,580.40",a,"381,020.00",a,0.4,a,6.7,e,385.1343284
Iowa,"2,455.60",a,5.1,a,"2,460.60",a,"194,323.00",a,0,a,3.2,e,768.9375
Kansas,"1,847.00",a,128.2,a,"1,975.10",a,"176,738.00",a,0.8,a,2.9,e,681.0689655
Kentucky,"4,452.20",a,81.7,a,"4,533.90",a,"216,102.00",a,1.7,a,4.5,e,1007.533333
Louisiana,"4,790.50",a,255.4,a,"5,045.90",a,"254,562.00",a,-0.1,a,4.7,e,1073.595745
Maine,"1,024.80",a,0,a,"1,024.80",a,"68,452.90",a,2.2,a,1.3,e,788.3076923
Maryland,"4,129.20",a,"1,564.80",a,"5,694.00",a,"421,610.00",a,0.3,a,6.1,e,933.442623
Massachusetts,"5,912.60",a,"2,190.40",a,"8,103.00",a,"593,257.00",a,2.9,a,6.9,e,1174.347826
Michigan,"7,588.50",a,"1,862.60",a,"9,451.10",a,"531,435.00",a,-0.1,a,10,e,945.11
Minnesota,"5,127.30",a,198.6,a,"5,325.90",a,"383,040.00",a,0.5,a,5.6,e,951.0535714
Mississippi,"2,891.60",a,0,a,"2,891.60",a,"114,734.00",a,0.4,a,3,e,963.8666667
Missouri,"4,947.10",a,839.4,a,"5,786.60",a,"332,273.00",a,1.7,a,6.1,e,948.6229508
Montana,"1,038.00",a,1.7,a,"1,039.70",a,"51,789.30",a,0.4,a,1.1,e,945.1818182
Nebraska,817.8,a,385.9,a,"1,203.70",a,"131,352.00",a,1.2,a,1.9,e,633.5263158
Nevada,"2,642.70",a,20.4,a,"2,663.20",a,"181,743.00",a,4.1,a,3.1,e,859.0967742
New Hampshire,811.1,a,23.9,a,834.9,a,"87,507.60",a,2.1,a,1.4,e,596.3571429
New Jersey,"11,745.20",a,25.3,a,"11,770.50",a,"639,437.00",a,2.1,a,8.9,e,1322.52809
New Mexico,"2,429.80",a,0,a,"2,429.80",a,"101,972.00",a,4.3,a,2.1,e,1157.047619
New York,"21,609.10",a,"14,464.10",a,"36,073.20",a,"1,777,750.00",a,2.5,a,19.5,e,1849.907692
North Carolina,"6,399.50",a,53.5,a,"6,453.00",a,"595,655.00",a,2.1,a,10.5,e,614.5714286
North Dakota,576.7,a,36.5,a,613.2,a,"59,004.50",a,0.6,a,0.8,e,766.5
Ohio,"16,874.30",a,165.8,a,"17,040.10",a,"693,199.00",a,2,a,11.7,e,1456.418803
Oklahoma,"2,499.90",a,115.8,a,"2,615.70",a,"203,700.00",a,1.7,a,4,e,653.925
Oregon,"5,548.20",a,207.4,a,"5,755.60",a,"246,647.00",a,2,a,4.2,e,1370.380952
Pennsylvania,"10,393.80",a,"3,044.50",a,"13,438.30",a,"799,686.00",a,1.7,a,12.8,e,1049.867188
Rhode Island,963.3,a,272.5,a,"1,235.80",a,"61,319.10",a,1.4,a,1.1,e,1123.454545
South Carolina,"3,525.90",a,8,a,"3,533.90",a,"244,662.00",a,2.3,a,5.2,e,679.5961538
South Dakota,596.9,a,32.7,a,629.6,a,"53,939.90",a,0.4,a,0.9,e,699.5555556
Tennessee,"2,688.20",a,853.7,a,"3,541.90",a,"376,916.00",a,2,a,6.8,e,520.8676471
Texas,"16,672.10",a,"2,837.50",a,"19,509.60",a,"1,863,950.00",a,3.2,a,29,e,672.7448276
All states combined,"278,445.90",a,"60,154.80",a,"338,600.70",a,"21,372,600.00",a,2.3,a,328.3,e,1031.375876
Utah,"1,689.60",a,20.1,a,"1,709.70",a,"195,088.00",a,4.8,a,3.2,e,534.28125
Vermont,371.8,a,27.9,a,399.7,a,"34,127.50",a,1,a,0.6,e,666.1666667
Virginia,"5,106.30",a,"1,189.80",a,"6,296.00",a,"554,306.00",a,2,a,8.6,e,732.0930233
Washington,"6,800.50",a,337.2,a,"7,137.70",a,"597,874.00",a,3.9,a,7.6,e,939.1710526
West Virginia,"1,488.00",a,60.3,a,"1,548.30",a,"79,139.70",a,-0.8,a,1.8,e,860.1666667
Wisconsin,"5,556.40",a,632.3,a,"6,188.80",a,"344,725.00",a,1.5,a,5.8,e,1067.034483
Wyoming,804.2,a,0,a,804.2,a,"39,600.80",a,1.7,a,0.6,e,1340.333333
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,
a - actual reported,,,,,,,,,,,,,
e - out-year estimate in US budget,,,,,,,,,,,,,
